ticker,signal,lag,correlation,n_obs
MSTR,google_trends,3,0.082,57
RIVN,wikipedia_views,-3,-0.2577,57
RIVN,wikipedia_views,-2,-0.0696,58
RIVN,wikipedia_views,-1,0.0122,59
RIVN,wikipedia_views,0,-0.1115,60
RIVN,wikipedia_views,1,-0.0411,59
RIVN,wikipedia_views,2,-0.0697,58
RIVN,wikipedia_views,3,-0.1594,57
RIVN,google_trends,-3,-0.1505,57
RIVN,google_trends,-2,-0.0656,58
RIVN,google_trends,-1,0.0256,59
RIVN,google_trends,0,-0.0707,60
RIVN,google_trends,1,0.1583,59
RIVN,google_trends,2,0.1605,58
RIVN,google_trends,3,-0.0417,57
LCID,wikipedia_views,-3,0.0186,57
LCID,wikipedia_views,-2,0.2466,58
LCID,wikipedia_views,-1,0.0883,59
LCID,wikipedia_views,0,-0.1575,60
LCID,wikipedia_views,1,-0.2025,59
LCID,wikipedia_views,2,-0.0953,58
LCID,wikipedia_views,3,-0.1402,57
LCID,google_trends,-3,-0.053,57
LCID,google_trends,-2,-0.0255,58
LCID,google_trends,-1,-0.1637,59
LCID,google_trends,0,-0.1755,60
LCID,google_trends,1,-0.1523,59
LCID,google_trends,2,-0.0803,58
LCID,google_trends,3,-0.0265,57
F,wikipedia_views,-3,0.156,57
F,wikipedia_views,-2,0.1682,58
F,wikipedia_views,-1,0.1749,59
F,wikipedia_views,0,0.0865,60
F,wikipedia_views,1,-0.1504,59
F,wikipedia_views,2,0.0626,58
F,wikipedia_views,3,0.0572,57
F,google_trends,-3,0.2645,57
F,google_trends,-2,0.2,58
F,google_trends,-1,0.1328,59
F,google_trends,0,0.1745,60
F,google_trends,1,0.0563,59
F,google_trends,2,-0.0878,58
F,google_trends,3,-0.0246,57
GM,wikipedia_views,-3,-0.154,57
GM,wikipedia_views,-2,0.0918,58
GM,wikipedia_views,-1,-0.0317,59
GM,wikipedia_views,0,-0.0333,60
GM,wikipedia_views,1,-0.0377,59
GM,wikipedia_views,2,-0.1895,58
GM,wikipedia_views,3,-0.1036,57
GM,google_trends,-3,0.0016,57
GM,google_trends,-2,0.0583,58
GM,google_trends,-1,0.1507,59
GM,google_trends,0,0.0932,60
GM,google_trends,1,0.0374,59
GM,google_trends,2,-0.0981,58
GM,google_trends,3,0.044,57
WMT,wikipedia_views,-3,-0.1373,57
WMT,wikipedia_views,-2,-0.1265,58
WMT,wikipedia_views,-1,-0.2307,59
WMT,wikipedia_views,0,-0.2482,60
WMT,wikipedia_views,1,-0.0644,59
WMT,wikipedia_views,2,-0.1087,58
WMT,wikipedia_views,3,0.0141,57
WMT,google_trends,-3,-0.1985,57
WMT,google_trends,-2,-0.161,58
WMT,google_trends,-1,-0.0786,59
WMT,google_trends,0,-0.0491,60
WMT,google_trends,1,-0.3293,59
WMT,google_trends,2,-0.1456,58
WMT,google_trends,3,0.0244,57
TGT,wikipedia_views,-3,0.1161,57
TGT,wikipedia_views,-2,0.1321,58
TGT,wikipedia_views,-1,0.2058,59
TGT,wikipedia_views,0,0.0649,60
TGT,wikipedia_views,1,0.0082,59
TGT,wikipedia_views,2,-0.1968,58
TGT,wikipedia_views,3,-0.0011,57
TGT,google_trends,-3,0.1367,57
TGT,google_trends,-2,-0.1468,58
TGT,google_trends,-1,-0.1266,59
TGT,google_trends,0,-0.0239,60
TGT,google_trends,1,0.0366,59
TGT,google_trends,2,0.0867,58
TGT,google_trends,3,0.049,57
MCD,wikipedia_views,-3,-0.2666,57
MCD,wikipedia_views,-2,-0.2458,58
MCD,wikipedia_views,-1,-0.3254,59
MCD,wikipedia_views,0,0.0295,60
MCD,wikipedia_views,1,-0.0453,59
MCD,wikipedia_views,2,-0.0167,58
MCD,wikipedia_views,3,-0.1247,57
MCD,google_trends,-3,0.0018,57
MCD,google_trends,-2,0.0253,58
MCD,google_trends,-1,0.0855,59
MCD,google_trends,0,0.1843,60
MCD,google_trends,1,0.005,59
MCD,google_trends,2,0.1156,58
MCD,google_trends,3,0.0819,57
CHWY,wikipedia_views,-3,-0.1661,57
CHWY,wikipedia_views,-2,0.1765,58
CHWY,wikipedia_views,-1,0.266,59
CHWY,wikipedia_views,0,-0.0984,60
CHWY,wikipedia_views,1,-0.0697,59
CHWY,wikipedia_views,2,-0.0671,58
CHWY,wikipedia_views,3,0.1561,57
CHWY,google_trends,-3,0.0566,57
CHWY,google_trends,-2,0.1771,58
CHWY,google_trends,-1,0.0297,59
CHWY,google_trends,0,0.1102,60
CHWY,google_trends,1,-0.0659,59
CHWY,google_trends,2,0.0786,58
CHWY,google_trends,3,-0.0871,57
NKE,wikipedia_views,-3,0.1687,57
NKE,wikipedia_views,-2,0.0352,58
NKE,wikipedia_views,-1,-0.0713,59
NKE,wikipedia_views,0,-0.2545,60
NKE,wikipedia_views,1,-0.0807,59
NKE,wikipedia_views,2,-0.0334,58
NKE,wikipedia_views,3,-0.0189,57
NKE,google_trends,-3,-0.1792,57
NKE,google_trends,-2,-0.0865,58
NKE,google_trends,-1,-0.0573,59
NKE,google_trends,0,-0.0286,60
NKE,google_trends,1,0.0147,59
NKE,google_trends,2,0.0208,58
NKE,google_trends,3,0.1349,57
ABNB,wikipedia_views,-3,0.0429,57
ABNB,wikipedia_views,-2,0.2475,58
ABNB,wikipedia_views,-1,0.1642,59
ABNB,wikipedia_views,0,0.0163,60
ABNB,wikipedia_views,1,-0.0254,59
ABNB,wikipedia_views,2,-0.1362,58
ABNB,wikipedia_views,3,-0.0767,57
ABNB,google_trends,-3,0.1642,57
ABNB,google_trends,-2,-0.1039,58
ABNB,google_trends,-1,-0.1479,59
ABNB,google_trends,0,0.153,60
ABNB,google_trends,1,-0.0517,59
ABNB,google_trends,2,0.0202,58
ABNB,google_trends,3,-0.0118,57
RKLB,wikipedia_views,-3,0.165,57
RKLB,wikipedia_views,-2,0.2593,58
RKLB,wikipedia_views,-1,0.349,59
RKLB,wikipedia_views,0,0.2914,60
RKLB,wikipedia_views,1,0.0338,59
RKLB,wikipedia_views,2,-0.1224,58
RKLB,wikipedia_views,3,-0.2567,57
RKLB,google_trends,-3,0.1103,57
RKLB,google_trends,-2,0.1215,58
RKLB,google_trends,-1,0.2311,59
RKLB,google_trends,0,0.2211,60
RKLB,google_trends,1,0.0882,59
RKLB,google_trends,2,-0.1301,58
RKLB,google_trends,3,-0.1375,57
LMT,wikipedia_views,-3,-0.1353,57
LMT,wikipedia_views,-2,-0.0908,58
LMT,wikipedia_views,-1,0.0904,59
LMT,wikipedia_views,0,0.1042,60
LMT,wikipedia_views,1,0.0291,59
LMT,wikipedia_views,2,-0.0296,58
LMT,wikipedia_views,3,-0.0643,57
LMT,google_trends,-3,-0.0861,57
LMT,google_trends,-2,-0.255,58
LMT,google_trends,-1,-0.227,59
LMT,google_trends,0,-0.0659,60
LMT,google_trends,1,-0.0754,59
LMT,google_trends,2,-0.1559,58
LMT,google_trends,3,0.1093,57
RTX,wikipedia_views,-3,0.0755,57
RTX,wikipedia_views,-2,0.1666,58
RTX,wikipedia_views,-1,0.3061,59
RTX,wikipedia_views,0,0.0385,60
RTX,wikipedia_views,1,0.0503,59
RTX,wikipedia_views,2,0.0355,58
RTX,wikipedia_views,3,0.011,57
RTX,google_trends,-3,-0.0696,57
RTX,google_trends,-2,-0.0511,58
RTX,google_trends,-1,-0.0707,59
RTX,google_trends,0,-0.041,60
RTX,google_trends,1,-0.0211,59
RTX,google_trends,2,-0.1823,58
RTX,google_trends,3,-0.0406,57
BA,wikipedia_views,-3,-0.0157,57
BA,wikipedia_views,-2,0.1373,58
BA,wikipedia_views,-1,0.127,59
BA,wikipedia_views,0,-0.0053,60
BA,wikipedia_views,1,-0.0411,59
BA,wikipedia_views,2,-0.2223,58
BA,wikipedia_views,3,0.0158,57
BA,google_trends,-3,-0.247,57
BA,google_trends,-2,0.0511,58
BA,google_trends,-1,-0.1276,59
BA,google_trends,0,0.0543,60
BA,google_trends,1,-0.1181,59
BA,google_trends,2,-0.2297,58
BA,google_trends,3,0.2913,57
PFE,wikipedia_views,-3,-0.0585,57
PFE,wikipedia_views,-2,0.2284,58
PFE,wikipedia_views,-1,0.0594,59
PFE,wikipedia_views,0,0.0615,60
PFE,wikipedia_views,1,-0.3408,59
PFE,wikipedia_views,2,-0.2862,58
PFE,wikipedia_views,3,0.1669,57
PFE,google_trends,-3,0.0058,57
PFE,google_trends,-2,-0.0033,58
PFE,google_trends,-1,0.0128,59
PFE,google_trends,0,-0.0147,60
PFE,google_trends,1,-0.0812,59
PFE,google_trends,2,-0.1036,58
PFE,google_trends,3,-0.0159,57
MRNA,wikipedia_views,-3,0.183,57
MRNA,wikipedia_views,-2,0.0481,58
MRNA,wikipedia_views,-1,0.0086,59
MRNA,wikipedia_views,0,0.066,60
